"Population by Educational Attainment","Number"
"Beginners",""
"Female","519"
"Male","440"
"Graduate and Equivalent",""
"Female","5"
"Male","37"
"Intermediate and Equivalent",""
"Female","64"
"Male","172"
"Level not Stated",""
"Female","6"
"Male","8"
"Lower Secondary (Class 6-8)",""
"Female","403"
"Male","917"
"Non Formal Education",""
"Female","59"
"Male","39"
"Others",""
"Female","2"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","7"
"Primary Education (1-5 Class)",""
"Female","2034"
"Male","2722"
"Secondary Level (Class 9-10)",""
"Female","116"
"Male","374"
"SLC and Equivalent",""
"Female","97"
"Male","245"
