"Population by Single Year of Age","Number"
"0",""
"Female","210"
"Male","225"
"1",""
"Female","196"
"Male","218"
"10",""
"Female","287"
"Male","273"
"11",""
"Female","162"
"Male","193"
"12",""
"Female","300"
"Male","285"
"13",""
"Female","187"
"Male","222"
"14",""
"Female","203"
"Male","220"
"15",""
"Female","183"
"Male","173"
"16",""
"Female","203"
"Male","187"
"17",""
"Female","137"
"Male","110"
"18",""
"Female","195"
"Male","159"
"19",""
"Female","91"
"Male","75"
"2",""
"Female","242"
"Male","226"
"20",""
"Female","201"
"Male","113"
"21",""
"Female","120"
"Male","82"
"22",""
"Female","151"
"Male","126"
"23",""
"Female","121"
"Male","73"
"24",""
"Female","150"
"Male","79"
"25",""
"Female","155"
"Male","106"
"26",""
"Female","111"
"Male","76"
"27",""
"Female","102"
"Male","64"
"28",""
"Female","150"
"Male","98"
"29",""
"Female","61"
"Male","48"
"3",""
"Female","286"
"Male","247"
"30",""
"Female","164"
"Male","136"
"31",""
"Female","44"
"Male","57"
"32",""
"Female","121"
"Male","88"
"33",""
"Female","65"
"Male","50"
"34",""
"Female","59"
"Male","47"
"35",""
"Female","144"
"Male","135"
"36",""
"Female","67"
"Male","77"
"37",""
"Female","37"
"Male","43"
"38",""
"Female","98"
"Male","92"
"39",""
"Female","29"
"Male","41"
"4",""
"Female","313"
"Male","304"
"40",""
"Female","148"
"Male","123"
"41",""
"Female","44"
"Male","38"
"42",""
"Female","73"
"Male","80"
"43",""
"Female","46"
"Male","43"
"44",""
"Female","50"
"Male","51"
"45",""
"Female","147"
"Male","138"
"46",""
"Female","53"
"Male","62"
"47",""
"Female","28"
"Male","42"
"48",""
"Female","67"
"Male","86"
"49",""
"Female","32"
"Male","30"
"5",""
"Female","273"
"Male","261"
"50",""
"Female","97"
"Male","77"
"51",""
"Female","25"
"Male","45"
"52",""
"Female","49"
"Male","65"
"53",""
"Female","25"
"Male","41"
"54",""
"Female","27"
"Male","28"
"55",""
"Female","72"
"Male","76"
"56",""
"Female","36"
"Male","53"
"57",""
"Female","24"
"Male","35"
"58",""
"Female","54"
"Male","59"
"59",""
"Female","16"
"Male","21"
"6",""
"Female","335"
"Male","261"
"60",""
"Female","64"
"Male","73"
"61",""
"Female","22"
"Male","21"
"62",""
"Female","25"
"Male","35"
"63",""
"Female","12"
"Male","16"
"64",""
"Female","11"
"Male","19"
"65",""
"Female","59"
"Male","41"
"66",""
"Female","16"
"Male","20"
"67",""
"Female","8"
"Male","9"
"68",""
"Female","21"
"Male","38"
"69",""
"Female","6"
"Male","10"
"7",""
"Female","224"
"Male","203"
"70",""
"Female","45"
"Male","26"
"71",""
"Female","10"
"Male","10"
"72",""
"Female","17"
"Male","23"
"73",""
"Female","6"
"Male","7"
"74",""
"Female","2"
"Male","4"
"75",""
"Female","18"
"Male","26"
"76",""
"Female","7"
"Male","6"
"77",""
"Female","2"
"Male","7"
"78",""
"Female","8"
"Male","11"
"79",""
"Female","1"
"Male","5"
"8",""
"Female","340"
"Male","284"
"80",""
"Female","9"
"Male","10"
"81",""
"Female","3"
"Male","4"
"82",""
"Female","3"
"Male","4"
"83",""
"Female","2"
"Male","3"
"84",""
"Female","2"
"Male","4"
"85",""
"Female","15"
"Male","15"
"9",""
"Female","226"
"Male","227"
