"Population by Educational Attainment","Number"
"Beginners",""
"Female","369"
"Male","402"
"Graduate and Equivalent",""
"Female","11"
"Male","90"
"Intermediate and Equivalent",""
"Female","102"
"Male","237"
"Level not Stated",""
"Female","76"
"Male","52"
"Lower Secondary (Class 6-8)",""
"Female","1664"
"Male","1702"
"Non Formal Education",""
"Female","471"
"Male","352"
"Others",""
"Female","4"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","10"
"Primary Education (1-5 Class)",""
"Female","3470"
"Male","3613"
"Secondary Level (Class 9-10)",""
"Female","662"
"Male","899"
"SLC and Equivalent",""
"Female","631"
"Male","791"
