"Population by disability type","Number"
"Blind/low vision",""
"Female","29"
"Male","24"
"","53"
"Deaf/hard of hearing",""
"Female","34"
"Male","45"
"","79"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","3"
"Male","1"
"","4"
"Mental disable",""
"Female","21"
"Male","12"
"","33"
"Multiple disable",""
"Female","20"
"Male","14"
"","34"
"No disability",""
"Female","9179"
"Male","7934"
"","17113"
"Physical",""
"Female","57"
"Male","74"
"","131"
"Speech problem",""
"Female","34"
"Male","38"
"","72"
