"Population by Educational Attainment","Number"
"Beginners",""
"Female","574"
"Male","538"
"Graduate and Equivalent",""
"Female","13"
"Male","37"
"Intermediate and Equivalent",""
"Female","72"
"Male","109"
"Level not Stated",""
"Female","20"
"Male","18"
"Lower Secondary (Class 6-8)",""
"Female","715"
"Male","1008"
"Non Formal Education",""
"Female","591"
"Male","475"
"Others",""
"Female","3"
"Male","7"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","8"
"Primary Education (1-5 Class)",""
"Female","2225"
"Male","2858"
"Secondary Level (Class 9-10)",""
"Female","276"
"Male","493"
"SLC and Equivalent",""
"Female","83"
"Male","211"
