"Population by Educational Attainment","Number"
"Beginners",""
"Female","544"
"Male","640"
"","1184"
"Graduate and Equivalent",""
"Female","121"
"Male","399"
"","520"
"Intermediate and Equivalent",""
"Female","703"
"Male","1033"
"","1736"
"Level not Stated",""
"Female","81"
"Male","81"
"","162"
"Lower Secondary (Class 6-8)",""
"Female","3622"
"Male","4350"
"","7972"
"Non Formal Education",""
"Female","786"
"Male","926"
"","1712"
"Others",""
"Female","10"
"Male","21"
"","31"
"Post Graduate Equivalent and Above",""
"Female","22"
"Male","130"
"","152"
"Primary Education (1-5 Class)",""
"Female","7125"
"Male","8266"
"","15391"
"Secondary Level (Class 9-10)",""
"Female","1627"
"Male","2157"
"","3784"
"SLC and Equivalent",""
"Female","1876"
"Male","2638"
"","4514"
