"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","26"
"","66"
"Deaf/hard of hearing",""
"Female","30"
"Male","26"
"","56"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","10"
"Male","13"
"","23"
"Multiple disable",""
"Female","8"
"Male","14"
"","22"
"No disability",""
"Female","11539"
"Male","10063"
"","21602"
"Physical",""
"Female","58"
"Male","72"
"","130"
"Speech problem",""
"Female","16"
"Male","22"
"","38"
