"Population by Educational Attainment","Number"
"Beginners",""
"Female","294"
"Male","378"
"","672"
"Graduate and Equivalent",""
"Female","30"
"Male","98"
"","128"
"Intermediate and Equivalent",""
"Female","134"
"Male","302"
"","436"
"Level not Stated",""
"Female","21"
"Male","17"
"","38"
"Lower Secondary (Class 6-8)",""
"Female","1498"
"Male","1789"
"","3287"
"Non Formal Education",""
"Female","119"
"Male","122"
"","241"
"Others",""
"Female","3"
"Male","3"
"","6"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","35"
"","44"
"Primary Education (1-5 Class)",""
"Female","3095"
"Male","3297"
"","6392"
"Secondary Level (Class 9-10)",""
"Female","717"
"Male","922"
"","1639"
"SLC and Equivalent",""
"Female","217"
"Male","274"
"","491"
