"Population by Educational Attainment","Number"
"Beginners",""
"Female","438"
"Male","510"
"","948"
"Graduate and Equivalent",""
"Female","48"
"Male","167"
"","215"
"Intermediate and Equivalent",""
"Female","465"
"Male","670"
"","1135"
"Level not Stated",""
"Female","33"
"Male","26"
"","59"
"Lower Secondary (Class 6-8)",""
"Female","2228"
"Male","2565"
"","4793"
"Non Formal Education",""
"Female","85"
"Male","78"
"","163"
"Others",""
"Female","4"
"Male","5"
"","9"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","42"
"","50"
"Primary Education (1-5 Class)",""
"Female","4608"
"Male","5451"
"","10059"
"Secondary Level (Class 9-10)",""
"Female","852"
"Male","1155"
"","2007"
"SLC and Equivalent",""
"Female","588"
"Male","809"
"","1397"
