"Population by disability type","Number"
"Blind/low vision",""
"Female","80"
"Male","52"
"","132"
"Deaf/hard of hearing",""
"Female","64"
"Male","73"
"","137"
"Deaf-Blind",""
"Female","18"
"Male","20"
"","38"
"Intellectual disable",""
"Female","10"
"Male","2"
"","12"
"Mental disable",""
"Female","11"
"Male","12"
"","23"
"Multiple disable",""
"Female","33"
"Male","42"
"","75"
"No disability",""
"Female","9223"
"Male","8449"
"","17672"
"Physical",""
"Female","122"
"Male","147"
"","269"
"Speech problem",""
"Female","42"
"Male","49"
"","91"
