"Population by Educational Attainment","Number"
"Beginners",""
"Female","574"
"Male","538"
"","1112"
"Graduate and Equivalent",""
"Female","13"
"Male","37"
"","50"
"Intermediate and Equivalent",""
"Female","72"
"Male","109"
"","181"
"Level not Stated",""
"Female","20"
"Male","18"
"","38"
"Lower Secondary (Class 6-8)",""
"Female","715"
"Male","1008"
"","1723"
"Non Formal Education",""
"Female","591"
"Male","475"
"","1066"
"Others",""
"Female","3"
"Male","7"
"","10"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","8"
"","8"
"Primary Education (1-5 Class)",""
"Female","2225"
"Male","2858"
"","5083"
"Secondary Level (Class 9-10)",""
"Female","276"
"Male","493"
"","769"
"SLC and Equivalent",""
"Female","83"
"Male","211"
"","294"
