"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","65"
"","108"
"Deaf/hard of hearing",""
"Female","47"
"Male","43"
"","90"
"Deaf-Blind",""
"Female","4"
"Male","7"
"","11"
"Intellectual disable",""
"Female","5"
"Male","12"
"","17"
"Mental disable",""
"Female","19"
"Male","19"
"","38"
"Multiple disable",""
"Female","22"
"Male","22"
"","44"
"No disability",""
"Female","21023"
"Male","19104"
"","40127"
"Physical",""
"Female","99"
"Male","151"
"","250"
"Speech problem",""
"Female","39"
"Male","40"
"","79"
