"Population by disability type","Number"
"Blind/low vision",""
"Female","46"
"Male","50"
"","96"
"Deaf/hard of hearing",""
"Female","57"
"Male","47"
"","104"
"Deaf-Blind",""
"Female","6"
"Male","5"
"","11"
"Intellectual disable",""
"Female","18"
"Male","14"
"","32"
"Mental disable",""
"Female","40"
"Male","35"
"","75"
"Multiple disable",""
"Female","45"
"Male","50"
"","95"
"No disability",""
"Female","23679"
"Male","19855"
"","43534"
"Physical",""
"Female","131"
"Male","175"
"","306"
"Speech problem",""
"Female","47"
"Male","65"
"","112"
