"Population by Educational Attainment","Number"
"Beginners",""
"Female","190"
"Male","149"
"Graduate and Equivalent",""
"Female","16"
"Male","34"
"Intermediate and Equivalent",""
"Female","83"
"Male","94"
"Level not Stated",""
"Female","83"
"Male","71"
"Lower Secondary (Class 6-8)",""
"Female","1128"
"Male","995"
"Non Formal Education",""
"Female","479"
"Male","235"
"Others",""
"Female","2"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","16"
"Primary Education (1-5 Class)",""
"Female","2562"
"Male","2802"
"Secondary Level (Class 9-10)",""
"Female","404"
"Male","336"
"SLC and Equivalent",""
"Female","196"
"Male","249"
