"Population by disability type","Number"
"Blind/low vision",""
"Female","12"
"Male","13"
"","25"
"Deaf/hard of hearing",""
"Female","13"
"Male","15"
"","28"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","1"
"Male","2"
"","3"
"Mental disable",""
"Female","5"
"Male","6"
"","11"
"Multiple disable",""
"Female","8"
"Male","19"
"","27"
"No disability",""
"Female","8938"
"Male","7633"
"","16571"
"Physical",""
"Female","42"
"Male","82"
"","124"
"Speech problem",""
"Female","24"
"Male","36"
"","60"
