"Population by Educational Attainment","Number"
"Beginners",""
"Female","424"
"Male","437"
"","861"
"Graduate and Equivalent",""
"Female","31"
"Male","106"
"","137"
"Intermediate and Equivalent",""
"Female","231"
"Male","264"
"","495"
"Level not Stated",""
"Female","22"
"Male","23"
"","45"
"Lower Secondary (Class 6-8)",""
"Female","2140"
"Male","1651"
"","3791"
"Non Formal Education",""
"Female","712"
"Male","655"
"","1367"
"Others",""
"Female","10"
"Male","16"
"","26"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","47"
"","57"
"Primary Education (1-5 Class)",""
"Female","3646"
"Male","3466"
"","7112"
"Secondary Level (Class 9-10)",""
"Female","1192"
"Male","817"
"","2009"
"SLC and Equivalent",""
"Female","1354"
"Male","996"
"","2350"
