"Population by disability type","Number"
"Blind/low vision",""
"Female","16"
"Male","18"
"","34"
"Deaf/hard of hearing",""
"Female","3"
"Male","10"
"","13"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","3"
"Male","4"
"","7"
"Mental disable",""
"Female","13"
"Male","15"
"","28"
"Multiple disable",""
"Female","4"
"Male","6"
"","10"
"No disability",""
"Female","10408"
"Male","10757"
"","21165"
"Physical",""
"Female","38"
"Male","69"
"","107"
"Speech problem",""
"Female","12"
"Male","13"
"","25"
