"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","176"
"Male","151"
"Brahman - Hill",""
"Female","7153"
"Male","6300"
"Brahman - Tarai",""
"Female","15"
"Male","13"
"Chhetri",""
"Female","10555"
"Male","8827"
"Dalit Others",""
"Female","11"
"Male","5"
"Damai/Dholi",""
"Female","1704"
"Male","1378"
"Gharti/Bhujel",""
"Female","713"
"Male","633"
"Gurung",""
"Female","1598"
"Male","1374"
"Hajam/Thakur",""
"Female","6"
"Male","8"
"Kami",""
"Female","2364"
"Male","2036"
"Kathabaniyan",""
"Female","5"
"Male","9"
"Khawas",""
"Female","16"
"Male","16"
"Kulung",""
"Female","263"
"Male","235"
"Limbu",""
"Female","19641"
"Male","16679"
"Magar",""
"Female","1290"
"Male","1124"
"Majhi",""
"Female","168"
"Male","136"
"Mallaha",""
"Female","3"
"Male","9"
"Musalman",""
"Female","13"
"Male","8"
"Newar",""
"Female","1519"
"Male","1362"
"Others",""
"Female","145"
"Male","139"
"Rai",""
"Female","1009"
"Male","947"
"Sanyasi/Dasnami",""
"Female","594"
"Male","460"
"Sarki",""
"Female","865"
"Male","738"
"Sherpa",""
"Female","607"
"Male","545"
"Sunuwar",""
"Female","58"
"Male","41"
"Tamang",""
"Female","3598"
"Male","3023"
"Teli",""
"Female","11"
"Male","8"
"Thakuri",""
"Female","135"
"Male","136"
"Tharu",""
"Female","16"
"Male","19"
"Undefined Others",""
"Female","18"
"Male","9"
"Yadav",""
"Female","6"
"Male","5"
"Yakkha",""
"Female","106"
"Male","79"
