"Population by disability type","Number"
"Blind/low vision",""
"Female","75"
"Male","87"
"","162"
"Deaf/hard of hearing",""
"Female","34"
"Male","48"
"","82"
"Deaf-Blind",""
"Female","5"
"Male","6"
"","11"
"Intellectual disable",""
"Female","7"
"Male","15"
"","22"
"Mental disable",""
"Female","15"
"Male","10"
"","25"
"Multiple disable",""
"Female","35"
"Male","27"
"","62"
"No disability",""
"Female","10713"
"Male","10831"
"","21544"
"Physical",""
"Female","63"
"Male","93"
"","156"
"Speech problem",""
"Female","14"
"Male","28"
"","42"
