"Population by Educational Attainment","Number"
"Beginners",""
"Female","148"
"Male","141"
"","289"
"Graduate and Equivalent",""
"Female","17"
"Male","31"
"","48"
"Intermediate and Equivalent",""
"Female","51"
"Male","115"
"","166"
"Level not Stated",""
"Female","23"
"Male","37"
"","60"
"Lower Secondary (Class 6-8)",""
"Female","535"
"Male","753"
"","1288"
"Non Formal Education",""
"Female","368"
"Male","566"
"","934"
"Others",""
"Female","2"
"Male","1"
"","3"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","9"
"","10"
"Primary Education (1-5 Class)",""
"Female","2292"
"Male","3060"
"","5352"
"Secondary Level (Class 9-10)",""
"Female","248"
"Male","341"
"","589"
"SLC and Equivalent",""
"Female","117"
"Male","225"
"","342"
