"Population by disability type","Number"
"Blind/low vision",""
"Female","58"
"Male","50"
"","108"
"Deaf/hard of hearing",""
"Female","37"
"Male","38"
"","75"
"Deaf-Blind",""
"Female","4"
"Male","8"
"","12"
"Intellectual disable",""
"Female","4"
"Male","11"
"","15"
"Mental disable",""
"Female","16"
"Male","13"
"","29"
"Multiple disable",""
"Female","21"
"Male","22"
"","43"
"No disability",""
"Female","9597"
"Male","8662"
"","18259"
"Physical",""
"Female","127"
"Male","143"
"","270"
"Speech problem",""
"Female","43"
"Male","55"
"","98"
