"Population by disability type","Number"
"Blind/low vision",""
"Female","23"
"Male","21"
"","44"
"Deaf/hard of hearing",""
"Female","19"
"Male","34"
"","53"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","2"
"Male","5"
"","7"
"Mental disable",""
"Female","5"
"Male","7"
"","12"
"Multiple disable",""
"Female","3"
"Male","21"
"","24"
"No disability",""
"Female","5734"
"Male","4996"
"","10730"
"Physical",""
"Female","48"
"Male","92"
"","140"
"Speech problem",""
"Female","5"
"Male","14"
"","19"
