"Population by Educational Attainment","Number"
"Beginners",""
"Female","165"
"Male","190"
"","355"
"Graduate and Equivalent",""
"Female","4"
"Male","22"
"","26"
"Intermediate and Equivalent",""
"Female","55"
"Male","89"
"","144"
"Level not Stated",""
"Female","5"
"Male","3"
"","8"
"Lower Secondary (Class 6-8)",""
"Female","521"
"Male","614"
"","1135"
"Non Formal Education",""
"Female","115"
"Male","112"
"","227"
"Others",""
"Female","2"
"Male","0"
"","2"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","3"
"","5"
"Primary Education (1-5 Class)",""
"Female","1250"
"Male","1547"
"","2797"
"Secondary Level (Class 9-10)",""
"Female","204"
"Male","234"
"","438"
"SLC and Equivalent",""
"Female","129"
"Male","170"
"","299"
