"Population by disability type","Number"
"Blind/low vision",""
"Female","15"
"Male","7"
"","22"
"Deaf/hard of hearing",""
"Female","30"
"Male","28"
"","58"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","2"
"Male","2"
"","4"
"Mental disable",""
"Female","12"
"Male","9"
"","21"
"Multiple disable",""
"Female","9"
"Male","14"
"","23"
"No disability",""
"Female","4692"
"Male","4570"
"","9262"
"Physical",""
"Female","47"
"Male","51"
"","98"
"Speech problem",""
"Female","21"
"Male","17"
"","38"
