"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","47"
"","99"
"Deaf/hard of hearing",""
"Female","43"
"Male","60"
"","103"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","1"
"Male","4"
"","5"
"Mental disable",""
"Female","15"
"Male","16"
"","31"
"Multiple disable",""
"Female","21"
"Male","32"
"","53"
"No disability",""
"Female","12020"
"Male","9231"
"","21251"
"Physical",""
"Female","69"
"Male","95"
"","164"
"Speech problem",""
"Female","32"
"Male","38"
"","70"
