"Population by disability type","Number"
"Blind/low vision",""
"Female","71"
"Male","64"
"","135"
"Deaf/hard of hearing",""
"Female","64"
"Male","84"
"","148"
"Deaf-Blind",""
"Female","5"
"Male","11"
"","16"
"Intellectual disable",""
"Female","4"
"Male","4"
"","8"
"Mental disable",""
"Female","7"
"Male","16"
"","23"
"Multiple disable",""
"Female","20"
"Male","17"
"","37"
"No disability",""
"Female","8223"
"Male","8291"
"","16514"
"Physical",""
"Female","75"
"Male","119"
"","194"
"Speech problem",""
"Female","18"
"Male","23"
"","41"
