"Population by disability type","Number"
"Blind/low vision",""
"Female","82"
"Male","61"
"","143"
"Deaf/hard of hearing",""
"Female","52"
"Male","62"
"","114"
"Deaf-Blind",""
"Female","8"
"Male","3"
"","11"
"Intellectual disable",""
"Female","9"
"Male","6"
"","15"
"Mental disable",""
"Female","14"
"Male","11"
"","25"
"Multiple disable",""
"Female","22"
"Male","10"
"","32"
"No disability",""
"Female","8586"
"Male","7852"
"","16438"
"Physical",""
"Female","85"
"Male","140"
"","225"
"Speech problem",""
"Female","35"
"Male","24"
"","59"
