"Population by disability type","Number"
"Blind/low vision",""
"Female","96"
"Male","93"
"","189"
"Deaf/hard of hearing",""
"Female","32"
"Male","28"
"","60"
"Deaf-Blind",""
"Female","3"
"Male","6"
"","9"
"Intellectual disable",""
"Female","8"
"Male","7"
"","15"
"Mental disable",""
"Female","16"
"Male","27"
"","43"
"Multiple disable",""
"Female","18"
"Male","17"
"","35"
"No disability",""
"Female","27027"
"Male","24760"
"","51787"
"Physical",""
"Female","78"
"Male","127"
"","205"
"Speech problem",""
"Female","21"
"Male","25"
"","46"
