"Population by Single Year of Age","Number"
"0",""
"Female","259"
"Male","250"
"1",""
"Female","261"
"Male","282"
"10",""
"Female","375"
"Male","351"
"11",""
"Female","264"
"Male","245"
"12",""
"Female","344"
"Male","345"
"13",""
"Female","284"
"Male","269"
"14",""
"Female","304"
"Male","311"
"15",""
"Female","224"
"Male","239"
"16",""
"Female","297"
"Male","251"
"17",""
"Female","105"
"Male","101"
"18",""
"Female","299"
"Male","305"
"19",""
"Female","139"
"Male","147"
"2",""
"Female","320"
"Male","368"
"20",""
"Female","225"
"Male","167"
"21",""
"Female","155"
"Male","139"
"22",""
"Female","201"
"Male","180"
"23",""
"Female","151"
"Male","130"
"24",""
"Female","145"
"Male","146"
"25",""
"Female","209"
"Male","206"
"26",""
"Female","129"
"Male","127"
"27",""
"Female","93"
"Male","93"
"28",""
"Female","175"
"Male","147"
"29",""
"Female","76"
"Male","71"
"3",""
"Female","376"
"Male","384"
"30",""
"Female","246"
"Male","193"
"31",""
"Female","56"
"Male","67"
"32",""
"Female","137"
"Male","140"
"33",""
"Female","82"
"Male","68"
"34",""
"Female","78"
"Male","81"
"35",""
"Female","256"
"Male","208"
"36",""
"Female","73"
"Male","108"
"37",""
"Female","38"
"Male","40"
"38",""
"Female","113"
"Male","116"
"39",""
"Female","55"
"Male","53"
"4",""
"Female","373"
"Male","395"
"40",""
"Female","263"
"Male","188"
"41",""
"Female","41"
"Male","52"
"42",""
"Female","58"
"Male","88"
"43",""
"Female","39"
"Male","47"
"44",""
"Female","33"
"Male","47"
"45",""
"Female","191"
"Male","183"
"46",""
"Female","51"
"Male","62"
"47",""
"Female","23"
"Male","47"
"48",""
"Female","73"
"Male","90"
"49",""
"Female","33"
"Male","31"
"5",""
"Female","404"
"Male","377"
"50",""
"Female","140"
"Male","146"
"51",""
"Female","19"
"Male","31"
"52",""
"Female","48"
"Male","69"
"53",""
"Female","26"
"Male","42"
"54",""
"Female","27"
"Male","28"
"55",""
"Female","102"
"Male","88"
"56",""
"Female","38"
"Male","45"
"57",""
"Female","32"
"Male","23"
"58",""
"Female","52"
"Male","82"
"59",""
"Female","35"
"Male","46"
"6",""
"Female","388"
"Male","391"
"60",""
"Female","146"
"Male","119"
"61",""
"Female","58"
"Male","54"
"62",""
"Female","63"
"Male","65"
"63",""
"Female","42"
"Male","32"
"64",""
"Female","30"
"Male","29"
"65",""
"Female","113"
"Male","82"
"66",""
"Female","15"
"Male","27"
"67",""
"Female","13"
"Male","17"
"68",""
"Female","31"
"Male","26"
"69",""
"Female","13"
"Male","7"
"7",""
"Female","318"
"Male","323"
"70",""
"Female","80"
"Male","63"
"71",""
"Female","11"
"Male","13"
"72",""
"Female","13"
"Male","23"
"73",""
"Female","7"
"Male","14"
"74",""
"Female","0"
"Male","9"
"75",""
"Female","35"
"Male","33"
"76",""
"Female","4"
"Male","9"
"77",""
"Female","0"
"Male","2"
"78",""
"Female","9"
"Male","15"
"79",""
"Female","1"
"Male","1"
"8",""
"Female","387"
"Male","375"
"80",""
"Female","35"
"Male","21"
"81",""
"Female","4"
"Male","6"
"82",""
"Female","2"
"Male","5"
"83",""
"Female","2"
"Male","5"
"84",""
"Female","1"
"Male","3"
"85",""
"Female","10"
"Male","16"
"9",""
"Female","288"
"Male","297"
