"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","43"
"","86"
"Deaf/hard of hearing",""
"Female","26"
"Male","23"
"","49"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","3"
"Male","1"
"","4"
"Mental disable",""
"Female","14"
"Male","12"
"","26"
"Multiple disable",""
"Female","12"
"Male","11"
"","23"
"No disability",""
"Female","10578"
"Male","9063"
"","19641"
"Physical",""
"Female","80"
"Male","110"
"","190"
"Speech problem",""
"Female","16"
"Male","19"
"","35"
