"Population by Educational Attainment","Number"
"Beginners",""
"Female","701"
"Male","636"
"Graduate and Equivalent",""
"Female","32"
"Male","110"
"Intermediate and Equivalent",""
"Female","156"
"Male","301"
"Level not Stated",""
"Female","101"
"Male","75"
"Lower Secondary (Class 6-8)",""
"Female","1881"
"Male","2320"
"Non Formal Education",""
"Female","879"
"Male","579"
"Others",""
"Female","4"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","11"
"Male","37"
"Primary Education (1-5 Class)",""
"Female","4735"
"Male","5249"
"Secondary Level (Class 9-10)",""
"Female","701"
"Male","953"
"SLC and Equivalent",""
"Female","343"
"Male","575"
