"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","50"
"","98"
"Deaf/hard of hearing",""
"Female","21"
"Male","24"
"","45"
"Deaf-Blind",""
"Female","7"
"Male","4"
"","11"
"Intellectual disable",""
"Female","8"
"Male","6"
"","14"
"Mental disable",""
"Female","16"
"Male","26"
"","42"
"Multiple disable",""
"Female","17"
"Male","18"
"","35"
"No disability",""
"Female","17118"
"Male","15029"
"","32147"
"Physical",""
"Female","72"
"Male","120"
"","192"
"Speech problem",""
"Female","32"
"Male","43"
"","75"
