"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","173"
"Male","172"
"Bangali",""
"Female","38"
"Male","51"
"Bantar/Sardar",""
"Female","98"
"Male","94"
"Baraee",""
"Female","470"
"Male","501"
"Bhote",""
"Female","24"
"Male","29"
"Bin",""
"Female","148"
"Male","147"
"Brahman - Hill",""
"Female","1401"
"Male","1457"
"Brahman - Tarai",""
"Female","536"
"Male","574"
"Chamar/ Harijan/ Ram",""
"Female","3419"
"Male","3590"
"Chhantyal/Chhantel",""
"Female","12"
"Male","3"
"Chhetri",""
"Female","467"
"Male","481"
"Dalit Others",""
"Female","71"
"Male","64"
"Damai/Dholi",""
"Female","23"
"Male","16"
"Dhankar/ Dharikar",""
"Female","31"
"Male","32"
"Dhanuk",""
"Female","3211"
"Male","3373"
"Dhobi",""
"Female","764"
"Male","827"
"Dhunia",""
"Female","216"
"Male","202"
"Dom",""
"Female","133"
"Male","144"
"Dusadh/ Pasawan/ Pasi",""
"Female","1327"
"Male","1448"
"Gaderi/Bhedihar",""
"Female","79"
"Male","82"
"Hajam/Thakur",""
"Female","846"
"Male","900"
"Halkhor",""
"Female","40"
"Male","63"
"Halwai",""
"Female","12"
"Male","9"
"Kahar",""
"Female","222"
"Male","234"
"Kalwar",""
"Female","1846"
"Male","2073"
"Kami",""
"Female","70"
"Male","67"
"Kanu",""
"Female","3910"
"Male","4303"
"Kathabaniyan",""
"Female","1151"
"Male","1214"
"Kayastha",""
"Female","218"
"Male","246"
"Kewat",""
"Female","40"
"Male","50"
"Koiri/Kushwaha",""
"Female","3001"
"Male","3292"
"Kumal",""
"Female","218"
"Male","243"
"Kumhar",""
"Female","822"
"Male","910"
"Kurmi",""
"Female","4379"
"Male","4816"
"Limbu",""
"Female","87"
"Male","74"
"Lohar",""
"Female","816"
"Male","891"
"Magar",""
"Female","33"
"Male","26"
"Majhi",""
"Female","81"
"Male","86"
"Mali",""
"Female","225"
"Male","266"
"Mallaha",""
"Female","1673"
"Male","1877"
"Marwadi",""
"Female","129"
"Male","152"
"Musahar",""
"Female","264"
"Male","278"
"Musalman",""
"Female","12606"
"Male","12975"
"Natuwa",""
"Female","132"
"Male","140"
"Newar",""
"Female","237"
"Male","236"
"Nuniya",""
"Female","662"
"Male","738"
"Others",""
"Female","31"
"Male","15"
"Pattharkatta/ Kushwadiya",""
"Female","31"
"Male","38"
"Rai",""
"Female","7"
"Male","7"
"Rajdhob",""
"Female","13"
"Male","14"
"Rajput",""
"Female","321"
"Male","335"
"Sanyasi/Dasnami",""
"Female","609"
"Male","636"
"Sarki",""
"Female","12"
"Male","9"
"Sonar",""
"Female","832"
"Male","861"
"Sudhi",""
"Female","49"
"Male","50"
"Tamang",""
"Female","44"
"Male","47"
"Tatma/Tatwa",""
"Female","156"
"Male","142"
"Teli",""
"Female","2970"
"Male","3286"
"Terai Others",""
"Female","515"
"Male","529"
"Thakuri",""
"Female","24"
"Male","24"
"Tharu",""
"Female","2129"
"Male","2243"
"Undefined Others",""
"Female","52"
"Male","36"
"Yadav",""
"Female","5157"
"Male","5866"
"Yakkha",""
"Female","63"
"Male","64"
