"Population by Educational Attainment","Number"
"Beginners",""
"Female","251"
"Male","282"
"","533"
"Graduate and Equivalent",""
"Female","69"
"Male","185"
"","254"
"Intermediate and Equivalent",""
"Female","385"
"Male","529"
"","914"
"Level not Stated",""
"Female","19"
"Male","19"
"","38"
"Lower Secondary (Class 6-8)",""
"Female","2000"
"Male","1594"
"","3594"
"Non Formal Education",""
"Female","614"
"Male","505"
"","1119"
"Others",""
"Female","5"
"Male","6"
"","11"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","77"
"","87"
"Primary Education (1-5 Class)",""
"Female","2801"
"Male","2528"
"","5329"
"Secondary Level (Class 9-10)",""
"Female","1303"
"Male","1028"
"","2331"
"SLC and Equivalent",""
"Female","1416"
"Male","1454"
"","2870"
