"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","47"
"","98"
"Deaf/hard of hearing",""
"Female","44"
"Male","55"
"","99"
"Deaf-Blind",""
"Female","3"
"Male","4"
"","7"
"Intellectual disable",""
"Female","6"
"Male","12"
"","18"
"Mental disable",""
"Female","34"
"Male","31"
"","65"
"Multiple disable",""
"Female","17"
"Male","13"
"","30"
"No disability",""
"Female","13711"
"Male","10316"
"","24027"
"Physical",""
"Female","124"
"Male","139"
"","263"
"Speech problem",""
"Female","32"
"Male","48"
"","80"
