"Population by Educational Attainment","Number"
"Beginners",""
"Female","418"
"Male","529"
"","947"
"Graduate and Equivalent",""
"Female","172"
"Male","625"
"","797"
"Intermediate and Equivalent",""
"Female","641"
"Male","1300"
"","1941"
"Level not Stated",""
"Female","81"
"Male","99"
"","180"
"Lower Secondary (Class 6-8)",""
"Female","1698"
"Male","2613"
"","4311"
"Non Formal Education",""
"Female","78"
"Male","91"
"","169"
"Others",""
"Female","42"
"Male","38"
"","80"
"Post Graduate Equivalent and Above",""
"Female","34"
"Male","190"
"","224"
"Primary Education (1-5 Class)",""
"Female","4435"
"Male","5754"
"","10189"
"Secondary Level (Class 9-10)",""
"Female","727"
"Male","1357"
"","2084"
"SLC and Equivalent",""
"Female","1095"
"Male","1786"
"","2881"
