"Population by disability type","Number"
"Blind/low vision",""
"Female","33"
"Male","30"
"","63"
"Deaf/hard of hearing",""
"Female","17"
"Male","12"
"","29"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","18"
"Male","28"
"","46"
"Multiple disable",""
"Female","7"
"Male","8"
"","15"
"No disability",""
"Female","22527"
"Male","23561"
"","46088"
"Physical",""
"Female","64"
"Male","118"
"","182"
"Speech problem",""
"Female","22"
"Male","54"
"","76"
