"Population by Single Year of Age","Number"
"0",""
"Female","209"
"Male","202"
"1",""
"Female","216"
"Male","181"
"10",""
"Female","308"
"Male","308"
"11",""
"Female","250"
"Male","196"
"12",""
"Female","347"
"Male","318"
"13",""
"Female","255"
"Male","242"
"14",""
"Female","318"
"Male","262"
"15",""
"Female","261"
"Male","242"
"16",""
"Female","262"
"Male","227"
"17",""
"Female","202"
"Male","167"
"18",""
"Female","286"
"Male","220"
"19",""
"Female","174"
"Male","134"
"2",""
"Female","211"
"Male","224"
"20",""
"Female","231"
"Male","158"
"21",""
"Female","181"
"Male","116"
"22",""
"Female","215"
"Male","134"
"23",""
"Female","162"
"Male","97"
"24",""
"Female","172"
"Male","98"
"25",""
"Female","188"
"Male","141"
"26",""
"Female","137"
"Male","94"
"27",""
"Female","127"
"Male","96"
"28",""
"Female","171"
"Male","121"
"29",""
"Female","88"
"Male","62"
"3",""
"Female","267"
"Male","273"
"30",""
"Female","209"
"Male","121"
"31",""
"Female","63"
"Male","54"
"32",""
"Female","116"
"Male","106"
"33",""
"Female","90"
"Male","80"
"34",""
"Female","78"
"Male","52"
"35",""
"Female","187"
"Male","130"
"36",""
"Female","87"
"Male","60"
"37",""
"Female","77"
"Male","61"
"38",""
"Female","80"
"Male","86"
"39",""
"Female","56"
"Male","32"
"4",""
"Female","280"
"Male","300"
"40",""
"Female","204"
"Male","135"
"41",""
"Female","61"
"Male","40"
"42",""
"Female","91"
"Male","86"
"43",""
"Female","64"
"Male","74"
"44",""
"Female","52"
"Male","53"
"45",""
"Female","145"
"Male","126"
"46",""
"Female","70"
"Male","42"
"47",""
"Female","43"
"Male","43"
"48",""
"Female","99"
"Male","101"
"49",""
"Female","42"
"Male","37"
"5",""
"Female","316"
"Male","304"
"50",""
"Female","133"
"Male","131"
"51",""
"Female","41"
"Male","32"
"52",""
"Female","57"
"Male","70"
"53",""
"Female","40"
"Male","36"
"54",""
"Female","22"
"Male","45"
"55",""
"Female","98"
"Male","73"
"56",""
"Female","46"
"Male","57"
"57",""
"Female","35"
"Male","37"
"58",""
"Female","52"
"Male","50"
"59",""
"Female","25"
"Male","35"
"6",""
"Female","286"
"Male","260"
"60",""
"Female","137"
"Male","98"
"61",""
"Female","34"
"Male","28"
"62",""
"Female","34"
"Male","36"
"63",""
"Female","38"
"Male","40"
"64",""
"Female","21"
"Male","26"
"65",""
"Female","66"
"Male","57"
"66",""
"Female","19"
"Male","21"
"67",""
"Female","7"
"Male","21"
"68",""
"Female","26"
"Male","45"
"69",""
"Female","8"
"Male","20"
"7",""
"Female","270"
"Male","283"
"70",""
"Female","43"
"Male","43"
"71",""
"Female","7"
"Male","11"
"72",""
"Female","20"
"Male","24"
"73",""
"Female","11"
"Male","15"
"74",""
"Female","5"
"Male","5"
"75",""
"Female","19"
"Male","13"
"76",""
"Female","7"
"Male","13"
"77",""
"Female","8"
"Male","5"
"78",""
"Female","10"
"Male","12"
"79",""
"Female","1"
"Male","10"
"8",""
"Female","327"
"Male","323"
"80",""
"Female","16"
"Male","8"
"81",""
"Female","1"
"Male","2"
"82",""
"Female","2"
"Male","5"
"83",""
"Female","3"
"Male","6"
"84",""
"Female","1"
"Male","1"
"85",""
"Female","7"
"Male","13"
"9",""
"Female","252"
"Male","267"
