"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","43"
"","68"
"Deaf/hard of hearing",""
"Female","19"
"Male","36"
"","55"
"Deaf-Blind",""
"Female","4"
"Male","9"
"","13"
"Intellectual disable",""
"Female","5"
"Male","3"
"","8"
"Mental disable",""
"Female","13"
"Male","13"
"","26"
"Multiple disable",""
"Female","22"
"Male","19"
"","41"
"No disability",""
"Female","16918"
"Male","15687"
"","32605"
"Physical",""
"Female","61"
"Male","102"
"","163"
"Speech problem",""
"Female","29"
"Male","26"
"","55"
