"Population by Educational Attainment","Number"
"Beginners",""
"Female","2"
"Male","5"
"","7"
"Graduate and Equivalent",""
"Female","2"
"Male","26"
"","28"
"Intermediate and Equivalent",""
"Female","64"
"Male","79"
"","143"
"Level not Stated",""
"Female","1"
"Male","0"
"","1"
"Lower Secondary (Class 6-8)",""
"Female","65"
"Male","65"
"","130"
"Non Formal Education",""
"Female","17"
"Male","36"
"","53"
"Others",""
"Female","0"
"Male","0"
"","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","7"
"","7"
"Primary Education (1-5 Class)",""
"Female","93"
"Male","127"
"","220"
"Secondary Level (Class 9-10)",""
"Female","48"
"Male","42"
"","90"
"SLC and Equivalent",""
"Female","36"
"Male","63"
"","99"
