"Population by disability type","Number"
"Blind/low vision",""
"Female","0"
"Male","3"
"","3"
"Deaf/hard of hearing",""
"Female","5"
"Male","3"
"","8"
"Deaf-Blind",""
"Female","0"
"Male","0"
"","0"
"Intellectual disable",""
"Female","0"
"Male","0"
"","0"
"Mental disable",""
"Female","1"
"Male","0"
"","1"
"Multiple disable",""
"Female","1"
"Male","2"
"","3"
"No disability",""
"Female","522"
"Male","580"
"","1102"
"Physical",""
"Female","2"
"Male","5"
"","7"
"Speech problem",""
"Female","1"
"Male","4"
"","5"
