"Population by Educational Attainment","Number"
"Beginners",""
"Female","90"
"Male","122"
"","212"
"Graduate and Equivalent",""
"Female","69"
"Male","286"
"","355"
"Intermediate and Equivalent",""
"Female","186"
"Male","545"
"","731"
"Level not Stated",""
"Female","59"
"Male","79"
"","138"
"Lower Secondary (Class 6-8)",""
"Female","1036"
"Male","1355"
"","2391"
"Non Formal Education",""
"Female","50"
"Male","108"
"","158"
"Others",""
"Female","9"
"Male","10"
"","19"
"Post Graduate Equivalent and Above",""
"Female","11"
"Male","70"
"","81"
"Primary Education (1-5 Class)",""
"Female","2356"
"Male","2917"
"","5273"
"Secondary Level (Class 9-10)",""
"Female","397"
"Male","857"
"","1254"
"SLC and Equivalent",""
"Female","316"
"Male","870"
"","1186"
