"Population by disability type","Number"
"Blind/low vision",""
"Female","23"
"Male","44"
"","67"
"Deaf/hard of hearing",""
"Female","13"
"Male","9"
"","22"
"Deaf-Blind",""
"Female","1"
"Male","5"
"","6"
"Intellectual disable",""
"Female","3"
"Male","4"
"","7"
"Mental disable",""
"Female","6"
"Male","20"
"","26"
"Multiple disable",""
"Female","2"
"Male","8"
"","10"
"No disability",""
"Female","13532"
"Male","13643"
"","27175"
"Physical",""
"Female","26"
"Male","64"
"","90"
"Speech problem",""
"Female","10"
"Male","17"
"","27"
