"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","38"
"","78"
"Deaf/hard of hearing",""
"Female","27"
"Male","48"
"","75"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","5"
"Male","8"
"","13"
"Mental disable",""
"Female","8"
"Male","10"
"","18"
"Multiple disable",""
"Female","11"
"Male","16"
"","27"
"No disability",""
"Female","10072"
"Male","10340"
"","20412"
"Physical",""
"Female","63"
"Male","98"
"","161"
"Speech problem",""
"Female","27"
"Male","44"
"","71"
