"Population by Educational Attainment","Number"
"Beginners",""
"Female","248"
"Male","255"
"Graduate and Equivalent",""
"Female","0"
"Male","14"
"Intermediate and Equivalent",""
"Female","14"
"Male","62"
"Level not Stated",""
"Female","9"
"Male","8"
"Lower Secondary (Class 6-8)",""
"Female","78"
"Male","482"
"Non Formal Education",""
"Female","45"
"Male","95"
"Others",""
"Female","0"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","2"
"Primary Education (1-5 Class)",""
"Female","553"
"Male","1383"
"Secondary Level (Class 9-10)",""
"Female","35"
"Male","175"
"SLC and Equivalent",""
"Female","10"
"Male","86"
