"Population by disability type","Number"
"Blind/low vision",""
"Female","1924"
"Male","2139"
"","4063"
"Deaf/hard of hearing",""
"Female","498"
"Male","549"
"","1047"
"Deaf-Blind",""
"Female","79"
"Male","110"
"","189"
"Intellectual disable",""
"Female","112"
"Male","160"
"","272"
"Mental disable",""
"Female","260"
"Male","372"
"","632"
"Multiple disable",""
"Female","311"
"Male","362"
"","673"
"No disability",""
"Female","331307"
"Male","342877"
"","674184"
"Physical",""
"Female","1443"
"Male","2112"
"","3555"
"Speech problem",""
"Female","445"
"Male","771"
"","1216"
