"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","21"
"","39"
"Deaf/hard of hearing",""
"Female","44"
"Male","46"
"","90"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","5"
"Male","11"
"","16"
"Mental disable",""
"Female","5"
"Male","4"
"","9"
"Multiple disable",""
"Female","8"
"Male","18"
"","26"
"No disability",""
"Female","9348"
"Male","8526"
"","17874"
"Physical",""
"Female","38"
"Male","61"
"","99"
"Speech problem",""
"Female","17"
"Male","30"
"","47"
