"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","24"
"","42"
"Deaf/hard of hearing",""
"Female","17"
"Male","15"
"","32"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","2"
"Male","5"
"","7"
"Mental disable",""
"Female","13"
"Male","13"
"","26"
"Multiple disable",""
"Female","9"
"Male","11"
"","20"
"No disability",""
"Female","8192"
"Male","6017"
"","14209"
"Physical",""
"Female","59"
"Male","56"
"","115"
"Speech problem",""
"Female","13"
"Male","20"
"","33"
