"Population by Educational Attainment","Number"
"Beginners",""
"Female","187"
"Male","226"
"","413"
"Graduate and Equivalent",""
"Female","24"
"Male","56"
"","80"
"Intermediate and Equivalent",""
"Female","120"
"Male","130"
"","250"
"Level not Stated",""
"Female","20"
"Male","15"
"","35"
"Lower Secondary (Class 6-8)",""
"Female","1180"
"Male","930"
"","2110"
"Non Formal Education",""
"Female","561"
"Male","321"
"","882"
"Others",""
"Female","1"
"Male","3"
"","4"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","17"
"","18"
"Primary Education (1-5 Class)",""
"Female","2041"
"Male","1885"
"","3926"
"Secondary Level (Class 9-10)",""
"Female","530"
"Male","484"
"","1014"
"SLC and Equivalent",""
"Female","424"
"Male","393"
"","817"
