"Population by disability type","Number"
"Blind/low vision",""
"Female","24"
"Male","28"
"","52"
"Deaf/hard of hearing",""
"Female","36"
"Male","22"
"","58"
"Deaf-Blind",""
"Female","6"
"Male","10"
"","16"
"Intellectual disable",""
"Female","0"
"Male","6"
"","6"
"Mental disable",""
"Female","8"
"Male","10"
"","18"
"Multiple disable",""
"Female","16"
"Male","23"
"","39"
"No disability",""
"Female","7832"
"Male","7209"
"","15041"
"Physical",""
"Female","61"
"Male","70"
"","131"
"Speech problem",""
"Female","41"
"Male","42"
"","83"
