"Population by disability type","Number"
"Blind/low vision",""
"Female","984"
"Male","894"
"","1878"
"Deaf/hard of hearing",""
"Female","615"
"Male","669"
"","1284"
"Deaf-Blind",""
"Female","98"
"Male","83"
"","181"
"Intellectual disable",""
"Female","65"
"Male","87"
"","152"
"Mental disable",""
"Female","236"
"Male","267"
"","503"
"Multiple disable",""
"Female","308"
"Male","360"
"","668"
"No disability",""
"Female","230881"
"Male","208575"
"","439456"
"Physical",""
"Female","1498"
"Male","1934"
"","3432"
"Speech problem",""
"Female","435"
"Male","514"
"","949"
