"Population by disability type","Number"
"Blind/low vision",""
"Female","74"
"Male","90"
"","164"
"Deaf/hard of hearing",""
"Female","73"
"Male","66"
"","139"
"Deaf-Blind",""
"Female","9"
"Male","9"
"","18"
"Intellectual disable",""
"Female","10"
"Male","18"
"","28"
"Mental disable",""
"Female","29"
"Male","50"
"","79"
"Multiple disable",""
"Female","50"
"Male","46"
"","96"
"No disability",""
"Female","35690"
"Male","35205"
"","70895"
"Physical",""
"Female","169"
"Male","245"
"","414"
"Speech problem",""
"Female","97"
"Male","129"
"","226"
