"Population by Educational Attainment","Number"
"Beginners",""
"Female","366"
"Male","388"
"","754"
"Graduate and Equivalent",""
"Female","4"
"Male","37"
"","41"
"Intermediate and Equivalent",""
"Female","78"
"Male","117"
"","195"
"Level not Stated",""
"Female","13"
"Male","19"
"","32"
"Lower Secondary (Class 6-8)",""
"Female","1206"
"Male","1131"
"","2337"
"Non Formal Education",""
"Female","549"
"Male","300"
"","849"
"Others",""
"Female","5"
"Male","3"
"","8"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","16"
"","18"
"Primary Education (1-5 Class)",""
"Female","3158"
"Male","3196"
"","6354"
"Secondary Level (Class 9-10)",""
"Female","405"
"Male","456"
"","861"
"SLC and Equivalent",""
"Female","300"
"Male","367"
"","667"
