"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","57"
"","116"
"Deaf/hard of hearing",""
"Female","78"
"Male","78"
"","156"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","8"
"Male","3"
"","11"
"Mental disable",""
"Female","23"
"Male","12"
"","35"
"Multiple disable",""
"Female","24"
"Male","30"
"","54"
"No disability",""
"Female","10201"
"Male","8270"
"","18471"
"Physical",""
"Female","87"
"Male","114"
"","201"
"Speech problem",""
"Female","34"
"Male","37"
"","71"
