"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","46"
"","90"
"Deaf/hard of hearing",""
"Female","26"
"Male","29"
"","55"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","6"
"Male","15"
"","21"
"Multiple disable",""
"Female","15"
"Male","20"
"","35"
"No disability",""
"Female","9802"
"Male","8280"
"","18082"
"Physical",""
"Female","72"
"Male","109"
"","181"
"Speech problem",""
"Female","34"
"Male","33"
"","67"
