"Population by Educational Attainment","Number"
"Beginners",""
"Female","186"
"Male","187"
"","373"
"Graduate and Equivalent",""
"Female","28"
"Male","57"
"","85"
"Intermediate and Equivalent",""
"Female","238"
"Male","222"
"","460"
"Level not Stated",""
"Female","27"
"Male","19"
"","46"
"Lower Secondary (Class 6-8)",""
"Female","1063"
"Male","1183"
"","2246"
"Non Formal Education",""
"Female","308"
"Male","299"
"","607"
"Others",""
"Female","4"
"Male","8"
"","12"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","18"
"","22"
"Primary Education (1-5 Class)",""
"Female","2477"
"Male","2629"
"","5106"
"Secondary Level (Class 9-10)",""
"Female","533"
"Male","616"
"","1149"
"SLC and Equivalent",""
"Female","225"
"Male","306"
"","531"
