"Population by Mother tongue","Number"
"Bahing",""
"Female","364"
"Male","318"
"Bangla",""
"Female","8"
"Male","14"
"Bantawa",""
"Female","6244"
"Male","5477"
"Bhojpuri",""
"Female","315"
"Male","282"
"Bhujel",""
"Female","64"
"Male","56"
"Bote",""
"Female","52"
"Male","41"
"Chamling",""
"Female","10708"
"Male","9422"
"Danuwar",""
"Female","3073"
"Male","2565"
"Dumi",""
"Female","123"
"Male","98"
"Gurung",""
"Female","72"
"Male","62"
"Hindi",""
"Female","49"
"Male","64"
"Jero/Jerung",""
"Female","22"
"Male","20"
"Khaling",""
"Female","33"
"Male","33"
"Koyee",""
"Female","6"
"Male","7"
"Kulung",""
"Female","19"
"Male","20"
"Limbu",""
"Female","100"
"Male","88"
"Magar",""
"Female","19540"
"Male","17280"
"Maithili",""
"Female","6010"
"Male","6447"
"Majhi",""
"Female","652"
"Male","600"
"Nepali",""
"Female","87108"
"Male","75857"
"Newar",""
"Female","1927"
"Male","1680"
"Not Reported",""
"Female","300"
"Male","281"
"Others",""
"Female","373"
"Male","330"
"Puma",""
"Female","880"
"Male","740"
"Rai",""
"Female","4526"
"Male","4025"
"Rajsthani",""
"Female","18"
"Male","20"
"Sampang",""
"Female","143"
"Male","113"
"Sanskrit",""
"Female","26"
"Male","13"
"Sherpa",""
"Female","255"
"Male","189"
"Sign Language",""
"Female","21"
"Male","29"
"Sunuwar",""
"Female","641"
"Male","559"
"Tamang",""
"Female","9884"
"Male","8539"
"Thami",""
"Female","30"
"Male","31"
"Tharu",""
"Female","12481"
"Male","10990"
"Thulung",""
"Female","454"
"Male","378"
"Tilung",""
"Female","79"
"Male","74"
"Uranw/Urau",""
"Female","29"
"Male","19"
"Urdu",""
"Female","516"
"Male","546"
"Waling/Walung",""
"Female","7"
"Male","6"
"Wambule",""
"Female","495"
"Male","436"
"Yakkha",""
"Female","21"
"Male","12"
