"Population by Mother tongue","Number"
"Avadhi",""
"Female","201"
"Male","204"
"","405"
"Bahing",""
"Female","407"
"Male","363"
"","770"
"Bajjika",""
"Female","0"
"Male","12"
"","12"
"Bangla",""
"Female","2294"
"Male","2316"
"","4610"
"Bantawa",""
"Female","6699"
"Male","5644"
"","12343"
"Belhare",""
"Female","46"
"Male","51"
"","97"
"Bhojpuri",""
"Female","2221"
"Male","2333"
"","4554"
"Bhujel",""
"Female","1154"
"Male","1047"
"","2201"
"Chamling",""
"Female","3008"
"Male","2611"
"","5619"
"Chhiling",""
"Female","37"
"Male","35"
"","72"
"Danuwar",""
"Female","320"
"Male","286"
"","606"
"Dhimal",""
"Female","78"
"Male","72"
"","150"
"Doteli",""
"Female","80"
"Male","58"
"","138"
"Dumi",""
"Female","489"
"Male","386"
"","875"
"Dungmali",""
"Female","80"
"Male","68"
"","148"
"English",""
"Female","14"
"Male","21"
"","35"
"Gurung",""
"Female","2289"
"Male","1915"
"","4204"
"Hindi",""
"Female","1115"
"Male","1520"
"","2635"
"Khaling",""
"Female","215"
"Male","211"
"","426"
"Khash",""
"Female","21"
"Male","21"
"","42"
"Koyee",""
"Female","126"
"Male","100"
"","226"
"Kulung",""
"Female","1823"
"Male","1569"
"","3392"
"Lapcha",""
"Female","57"
"Male","54"
"","111"
"Limbu",""
"Female","11045"
"Male","9100"
"","20145"
"Lohorung",""
"Female","125"
"Male","101"
"","226"
"Magahi",""
"Female","526"
"Male","486"
"","1012"
"Magar",""
"Female","5071"
"Male","4461"
"","9532"
"Maithili",""
"Female","105905"
"Male","108926"
"","214831"
"Majhi",""
"Female","1034"
"Male","963"
"","1997"
"Malpande",""
"Female","26"
"Male","31"
"","57"
"Meche",""
"Female","76"
"Male","53"
"","129"
"Mewahang",""
"Female","154"
"Male","118"
"","272"
"Nachhiring",""
"Female","158"
"Male","149"
"","307"
"Nepali",""
"Female","115853"
"Male","100993"
"","216846"
"Newar",""
"Female","8406"
"Male","7320"
"","15726"
"Not Reported",""
"Female","1179"
"Male","1166"
"","2345"
"Oriya",""
"Female","10"
"Male","18"
"","28"
"Others",""
"Female","1179"
"Male","1028"
"","2207"
"Pahari",""
"Female","9"
"Male","5"
"","14"
"Puma",""
"Female","89"
"Male","89"
"","178"
"Punjabi",""
"Female","9"
"Male","13"
"","22"
"Rai",""
"Female","9134"
"Male","7451"
"","16585"
"Rajbanshi",""
"Female","596"
"Male","638"
"","1234"
"Rajsthani",""
"Female","931"
"Male","988"
"","1919"
"Sampang",""
"Female","1345"
"Male","1015"
"","2360"
"Sanskrit",""
"Female","15"
"Male","15"
"","30"
"Santhali",""
"Female","188"
"Male","166"
"","354"
"Sherpa",""
"Female","670"
"Male","602"
"","1272"
"Sign Language",""
"Female","4"
"Male","7"
"","11"
"Sindhi",""
"Female","108"
"Male","107"
"","215"
"Sunuwar",""
"Female","599"
"Male","539"
"","1138"
"Tamang",""
"Female","7163"
"Male","6076"
"","13239"
"Thami",""
"Female","34"
"Male","25"
"","59"
"Tharu",""
"Female","46501"
"Male","41843"
"","88344"
"Thulung",""
"Female","693"
"Male","606"
"","1299"
"Tilung",""
"Female","14"
"Male","10"
"","24"
"Uranw/Urau",""
"Female","11231"
"Male","10247"
"","21478"
"Urdu",""
"Female","36822"
"Male","35444"
"","72266"
"Wambule",""
"Female","223"
"Male","214"
"","437"
"Yakkha",""
"Female","699"
"Male","561"
"","1260"
"Yamphu/Yamphe",""
"Female","95"
"Male","80"
"","175"
