"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","52"
"","104"
"Deaf/hard of hearing",""
"Female","25"
"Male","31"
"","56"
"Deaf-Blind",""
"Female","3"
"Male","6"
"","9"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","11"
"Male","15"
"","26"
"Multiple disable",""
"Female","6"
"Male","20"
"","26"
"No disability",""
"Female","18357"
"Male","19526"
"","37883"
"Physical",""
"Female","81"
"Male","144"
"","225"
"Speech problem",""
"Female","28"
"Male","46"
"","74"
