"Industries Employment","Number"
"Accommodation,  food",""
"Female","879"
"Male","1795"
"Administrative, support service",""
"Female","11"
"Male","322"
"Agriculture, forestry and  fishing",""
"Female","76"
"Male","252"
"Arts, entertainment, recreation",""
"Female","2"
"Male","33"
"Construction",""
"Female","28"
"Male","128"
"Education",""
"Female","1847"
"Male","4079"
"Electricity, gas and water",""
"Female","0"
"Male","0"
"Financial intermediation and insurance",""
"Female","761"
"Male","809"
"Health, social work",""
"Female","432"
"Male","769"
"Information and communication",""
"Female","10"
"Male","82"
"Manufacturing",""
"Female","2237"
"Male","7662"
"Other service activities",""
"Female","252"
"Male","999"
"Professional, scientific, techniqual activity",""
"Female","18"
"Male","111"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","10"
"Male","65"
"Water supply, wet management",""
"Female","4"
"Male","32"
"Wholesale, retail trade",""
"Female","4845"
"Male","11963"
