"Population by Educational Attainment","Number"
"Beginners",""
"Female","182"
"Male","234"
"","416"
"Graduate and Equivalent",""
"Female","22"
"Male","132"
"","154"
"Intermediate and Equivalent",""
"Female","164"
"Male","406"
"","570"
"Level not Stated",""
"Female","106"
"Male","166"
"","272"
"Lower Secondary (Class 6-8)",""
"Female","729"
"Male","1593"
"","2322"
"Non Formal Education",""
"Female","71"
"Male","148"
"","219"
"Others",""
"Female","29"
"Male","32"
"","61"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","34"
"","37"
"Primary Education (1-5 Class)",""
"Female","2752"
"Male","3860"
"","6612"
"Secondary Level (Class 9-10)",""
"Female","339"
"Male","836"
"","1175"
"SLC and Equivalent",""
"Female","267"
"Male","686"
"","953"
