"Population by disability type","Number"
"Blind/low vision",""
"Female","38"
"Male","53"
"","91"
"Deaf/hard of hearing",""
"Female","25"
"Male","27"
"","52"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","9"
"Male","10"
"","19"
"Mental disable",""
"Female","14"
"Male","12"
"","26"
"Multiple disable",""
"Female","7"
"Male","13"
"","20"
"No disability",""
"Female","16148"
"Male","16737"
"","32885"
"Physical",""
"Female","63"
"Male","97"
"","160"
"Speech problem",""
"Female","25"
"Male","42"
"","67"
