"Population by Mother tongue","Number"
"Bantawa",""
"Female","1572"
"Male","1431"
"","3003"
"Bhujel",""
"Female","14"
"Male","12"
"","26"
"Chamling",""
"Female","79"
"Male","71"
"","150"
"Dungmali",""
"Female","21"
"Male","16"
"","37"
"Gurung",""
"Female","109"
"Male","99"
"","208"
"Khash",""
"Female","17"
"Male","17"
"","34"
"Kulung",""
"Female","3"
"Male","8"
"","11"
"Limbu",""
"Female","20"
"Male","14"
"","34"
"Magar",""
"Female","104"
"Male","105"
"","209"
"Maithili",""
"Female","17"
"Male","67"
"","84"
"Nepali",""
"Female","7554"
"Male","6473"
"","14027"
"Newar",""
"Female","2138"
"Male","1942"
"","4080"
"Not Reported",""
"Female","60"
"Male","53"
"","113"
"Others",""
"Female","190"
"Male","175"
"","365"
"Rai",""
"Female","209"
"Male","176"
"","385"
"Sampang",""
"Female","386"
"Male","355"
"","741"
"Sanskrit",""
"Female","36"
"Male","38"
"","74"
"Sherpa",""
"Female","291"
"Male","226"
"","517"
"Tamang",""
"Female","1686"
"Male","1391"
"","3077"
"Tharu",""
"Female","6"
"Male","6"
"","12"
"Thulung",""
"Female","8"
"Male","9"
"","17"
