"Population by disability type","Number"
"Blind/low vision",""
"Female","29"
"Male","54"
"","83"
"Deaf/hard of hearing",""
"Female","23"
"Male","40"
"","63"
"Deaf-Blind",""
"Female","6"
"Male","7"
"","13"
"Intellectual disable",""
"Female","5"
"Male","1"
"","6"
"Mental disable",""
"Female","11"
"Male","15"
"","26"
"Multiple disable",""
"Female","9"
"Male","17"
"","26"
"No disability",""
"Female","14339"
"Male","12383"
"","26722"
"Physical",""
"Female","74"
"Male","129"
"","203"
"Speech problem",""
"Female","24"
"Male","38"
"","62"
